annotation_schema_version,dataset_fingerprint,source_manifest_sha256,doc_id,relative_path,company_code,report_year,statement_scope
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_5f7bb5ffa5810816fc979ee59dc6844988ef68b10f197a1fbe0f14904b7a3eb1,PNJ/2018/PNJ_financial_statements_2018_separate/PNJ_financial_statements_2018_separate_extracted.txt,PNJ,2018,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_42376c624225d02956730a6af69b07e08f78cd7d5366b0f8be3e71ffa75269c5,PNJ/2020/PNJ_financial_statements_2020_consolidated/PNJ_financial_statements_2020_consolidated_extracted.txt,PNJ,2020,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_3153a243f6b350ec4d0be841d2257bfc038dd94698a50c9fcc8a6d65090688b1,POW/2018/POW_financial_statements_2018_separate/POW_financial_statements_2018_separate_extracted.txt,POW,2018,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_dda5d3da92f3bced79d40aea32f681f7386ee5e05eeaf84c9c79f3fb207868be,POW/2021/POW_financial_statements_2021_consolidated/POW_financial_statements_2021_consolidated_extracted.txt,POW,2021,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_e4cffbe229c9df59a21e17be1aa356f0b16488b6815e8edf292b7a6f193683fc,POW/2023/POW_financial_statements_2023_consolidated/POW_financial_statements_2023_consolidated_extracted.txt,POW,2023,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,VIC,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_c4448eb688566a57d045e47744f0c9d157bb6c107be05f9b463bcdc8dbd00f3a,VIC/2020/VIC_financial_statements_2020_consolidated/VIC_financial_statements_2020_consolidated_extracted.txt,VIC,2020,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_b37401eec7dfb4bd86c11928a90cffd606fe280c8d6e7dd4c0e8536976c7979b,VIC/2022/VIC_financial_statements_2022_separate/VIC_financial_statements_2022_separate_extracted.txt,VIC,2022,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,VSF,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,VSF,2020,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_c6abaf23d7df797d2a10bcd1eab436045e51d656441f59d6b4bc189c09eac71e,VSF/2024/VSF_financial_statements_2024_consolidated/VSF_financial_statements_2024_consolidated_extracted.txt,VSF,2024,consolidated
