annotation_schema_version,sampling_version,cell_id,doc_id,relative_path,company_code,report_year,annotation_id,statement_type,table_id,row_idx,col_idx,row_label_raw,column_label_raw,value_raw,value_numeric,period,unit,source_line_start,source_line_end,source_excerpt,verified,review_notes
1,week1-pilot-v1,cell_1790f5dc4a010202949b74fdc061ed1cac4a68e8cf48b2b7d6ffe5603665aa9f,doc_8787ef5ce0651a133f520f289e631b6b8301e73154e8345c89cf7e01a504ec48,GEX/2016/GEX_financial_statements_2016_consolidated/GEX_financial_statements_2016_consolidated_extracted.txt,GEX,2016,ann_50c31cf140db792e60e17d618e2c5f21bd05d2e12333d593c752810d7c16fa65,income_statement,tbl_affe991e1f8a0fd5b92b5854941b3d7d73409b4c6719fd056cd03c983065c1ba,22,4,I. Vốn chủ sở hữu,"01/01/2016
VND",2.981.559.990.574,2981559990574.0,2016-01-01,VND,189,189,"<table><tr><td rowspan=""2"">Mã số</td><td rowspan=""2"">NGUỒN VỐN</td><td rowspan=""2"">Thuyết minh</td><td>31/12/2016</td><td>01/01/2016</td></tr><tr><td>VND</td><td>VND</td></tr><tr><td>300</td><td>C. NỘ PHẢI TRẢ</td><td></td><td>5.508.403.128.098</td><td>1.924.215.058.500</td></tr><tr><td>310</td><td>I. Nợ ngắn hạn</td><td></td><td>3.386.760.296.729</td><td>1.800.610.784.387</td></tr><tr><td>311</td><td>1. Phải trả người bán ngắn hạn</td><td>15</td><td>559.236.044.059</td><td>571.664.467.750</t...",true,programmatically verified provenance
1,week1-pilot-v1,cell_9fe41b4585ef7e943c7f38bffa77d61829dd713bc9a967a6469d27b0a85dbe21,doc_945525431af814f87b50e484b5db5e1f8408aabcc163d3657cc93d423a9ab107,IJC/2017/IJC_financial_statements_2017_consolidated/IJC_financial_statements_2017_consolidated_extracted.txt,IJC,2017,ann_589bda7da08c7c7a9af9ee509d712b6056882d7893eed962424da51d8ea280dc,balance_sheet,tbl_3f491ea6f576253ff7c12c17f7a1c5e433bed5e356d38d59841d61ec02cb8fa7,15,3,-,Thuyết minh,,,,,338,338,"<table><tr><td colspan=""2"">CHỈ TIÊU</td><td>Mã số</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td colspan=""2"">B - TÀI SẢN DÀI HẠN</td><td>200</td><td></td><td>1.887.910.377.416</td><td>1.631.607.906.852</td></tr><tr><td>I.</td><td>Các khoản phải thu dài hạn</td><td>210</td><td></td><td>982.598.592.172</td><td>698.149.277.341</td></tr><tr><td>1.</td><td>Phải thu dài hạn của khách hàng</td><td>211</td><td>V.3b</td><td>508.729.830.211</td><td>225.979.185.882</td></tr>...",true,programmatically verified provenance
1,week1-pilot-v1,cell_2ba13bc9f757766df0d8431a13a8e692c31e2af59693596e422626603f420cb9,doc_82757cff70c283e922eb5c48e767f9bc00696462c0c2412c931f2d8c4d1cf76f,HDG/2016/HDG_financial_statements_2016_consolidated/HDG_financial_statements_2016_consolidated_extracted.txt,HDG,2016,ann_66151c381eb0531bb58f8837ba30710236d041fd493acbf3545831ac1c9a2427,cash_flow_statement,tbl_80d07a70d225cc54ae87b35a193af7fd8b9b392b103ed4b8ea8461b9ee2031bb,13,3,,2015 VND,(250.762.000.149),-250762000149.0,2015,VND,249,249,"<table><tr><td></td><td>Mã số</td><td>2016 VND</td><td>2015 VND</td></tr><tr><td colspan=""4"">LU&#x27;U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH</td></tr><tr><td>Lợi nhuận trước thuế</td><td>01</td><td>293.174.502.310</td><td>185.234.177.492</td></tr><tr><td>Điều chỉnh cho các khoản</td><td></td><td></td><td></td></tr><tr><td>Khấu hao và phân bổ</td><td>02</td><td>85.692.308.597</td><td>28.681.239.012</td></tr><tr><td>Các khoản dự phòng</td><td>03</td><td>617.183.707</td><td>4.561.882.131</td></tr>...",true,programmatically verified provenance
1,week1-pilot-v1,cell_8e6346c71c838338958e915368dccb3998e7ad3bc89b3d0e599926f27fa5df73,doc_b37401eec7dfb4bd86c11928a90cffd606fe280c8d6e7dd4c0e8536976c7979b,VIC/2022/VIC_financial_statements_2022_separate/VIC_financial_statements_2022_separate_extracted.txt,VIC,2022,ann_695bd86ac86fdae4679f449b94f35c98d8d94ab9985418352bee3c83cddbbce0,cash_flow_statement,tbl_b9489f3cd10fa8dfa0bd9adb1e3f6f3d178c7f794dfabfb1387db0036662195f,1,2,,,,,,,338,338,<table><tr><td>Mã số</td><td>CHỈ TIÊU</td><td>Thuyết minh</td><td>Năm nay</td><td>Năm trước</td></tr><tr><td></td><td>III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH</td><td></td><td></td><td></td></tr><tr><td>33</td><td>Tiền thu từ đi vay</td><td></td><td>36.656.453</td><td>51.150.304</td></tr><tr><td>34</td><td>Tiền trả nợ gốc vay</td><td></td><td>(25.773.017)</td><td>(17.618.499)</td></tr><tr><td>40</td><td>Lưu chuyển tiền thuần từ hoạt động tài chính</td><td></td><td>10.883.436</td><td>33.531...,true,programmatically verified provenance
1,week1-pilot-v1,cell_92b57f47afa1a598a5881284c3b4f04f3b28ef0129445fa05dbd649ace89f18d,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,GEG,2016,ann_6bb7cb80e6206c14feeee10d2067c2fe508432b7e46a887f032873cf39a05ffa,income_statement,tbl_303fb8b4d477e4bffc735e52cf436ea4d7f61d0dc928a1458590608063a5898f,0,0,,,,,,,1053,1053,"<table><tr><td></td><td>Năm nay</td><td>VNDNăm trước</td></tr><tr><td>Lợi nhuận sau thuế TNDN của công mẹ</td><td>95.068.725.578</td><td>92.672.307.238</td></tr><tr><td>Trừ Quỹ khen thưởng, phúc lợi (*)</td><td>7.621.337.889</td><td>7.250.773.389</td></tr><tr><td>Lợi nhuận thuần phân bổ cho cổ đông sở hữu cổ phiếu phổ thông</td><td>87.447.387.689</td><td>85.421.533.849</td></tr><tr><td>Số lượng cổ phiếu phổ thông lưu hành bình quân (cổ phiếu)</td><td>74.490.339</td><td>72.744.454</td></tr><tr...",true,programmatically verified provenance
1,week1-pilot-v1,cell_d298f6ca48289dc7f8d191ccf7498e911f213d5b6ae5aec809fb6d478a2fcb4f,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,VSF,2017,ann_746337c9a9481bdb67d0a2c151e55d9ab393a38aa8fb7c5287a0bf5e5bceb873,balance_sheet,tbl_7134148f7d12602ab22fce535754d077c0cc3e7bb9379b5766da45d7a3d8c4aa,6,4,- Nguyên giá,,3.456.800.585.120,3456800585120.0,,,227,227,<table><tr><td>200</td><td>B. TÀI SẢN DÀI HẠN</td><td></td><td>3.568.916.027.724</td><td>3.758.326.869.055</td></tr><tr><td>210</td><td>I. Các khoản phải thu dài hạn</td><td></td><td>590.639.552.060</td><td>592.133.376.233</td></tr><tr><td>211</td><td>1. Phải thu dài hạn của khách hàng</td><td>5</td><td>582.348.737.701</td><td>583.814.626.928</td></tr><tr><td>216</td><td>2. Phải thu dài hạn khác</td><td>7</td><td>8.290.814.359</td><td>8.318.749.305</td></tr><tr><td>220</td><td>II. Tài sản cố ...,true,programmatically verified provenance
1,week1-pilot-v1,cell_422a2bfe34c59d7ad482d52854ed665c4c0c25f1d0163840cc8f28cbece8a16b,doc_7da3d76db147cb080f6f14a63989eb228c7cbab30405a30a834613aec3a97303,HPX/2022/HPX_financial_statements_2022_consolidated/HPX_financial_statements_2022_consolidated_extracted.txt,HPX,2022,ann_7db08284b932f7be59af8e175659d4d095dadf067290b23afd2b7e03582649c5,balance_sheet,tbl_d2336cb460c66e7d676b037e52b598864aaa123fa5ba65134f3d2a180392982a,18,3,2. Thuế GTGT được khấu trừ,31/12/2022VND,42.732.022.382,42732022382.0,2022-12-31,VND,322,322,"<table><tr><td></td><td>MS</td><td>TM</td><td>31/12/2022VND</td><td>01/01/2022VND</td></tr><tr><td colspan=""5"">TÀI SAN NGAN HẠN</td></tr><tr><td>A - (100=110+130+140+150)</td><td>100</td><td></td><td>6.311.369.110.154</td><td>6.731.620.122.004</td></tr><tr><td>I. Tiền và các khoản tương đương tiền</td><td>110</td><td>5.1</td><td>146.034.786.156</td><td>634.721.568.476</td></tr><tr><td>1. Tiền</td><td>111</td><td></td><td>131.034.786.156</td><td>634.721.568.476</td></tr><tr><td>2. Các khoản tư...",true,programmatically verified provenance
1,week1-pilot-v1,cell_0d49edf46603a8d7c109fd314489e93f97b16e49dfe5e48c3e42a7ec36ba0053,doc_eacbc7ceab65c68f8631b2cae1663c1390d55e5891ad8ce71ceb62ec0731249f,KHG/2023/KHG_financial_statements_2023_separate/KHG_financial_statements_2023_separate_extracted.txt,KHG,2023,ann_848bd9a18042912a728b077363030f32d093307c597ce97be1126613fe79c2a9,cash_flow_statement,tbl_862e0f3eeb84077a57670cfaf0082f2666820c64f04a39ac8563db44525b46bb,7,2,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Năm 2023,(127.538.810.937),-127538810937.0,2023,VND,273,273,"<table><tr><td>CHỈ TIÊU</td><td>Mã số</td><td>Năm 2023</td><td>Năm 2022</td></tr><tr><td colspan=""4"">I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH</td></tr><tr><td>1. Lợi nhuận trước thuế</td><td>01</td><td>34.156.456.697</td><td>554.251.223.796</td></tr><tr><td>2. Điều chỉnh cho các khoản</td><td></td><td></td><td></td></tr><tr><td>- Khấu hao TSCĐ và BĐSĐT</td><td>02</td><td>442.784.888</td><td>293.906.306</td></tr><tr><td>- Lãi, lỗ từ hoạt động đầu tư</td><td>05</td><td>(282.571.112.070)</td><...",true,programmatically verified provenance
1,week1-pilot-v1,cell_55e815211d6f56581a83da821949bf756e781e1377c55c1246f7f9c25de9beac,doc_59b3e52b9aef6dd3fad9bff4017cf6e47739b7170535b8edfb84d13bce03dec7,MSB/2016/MSB_financial_statements_2016_consolidated/MSB_financial_statements_2016_consolidated_extracted.txt,MSB,2016,ann_a69f77ce9d15794a31c0e3b6efc9d7b5c106f921f506eb4a91077d1c68e0c9b1,cash_flow_statement,tbl_6509d4f164fba562b749ecda7307a92824caaed565e4537ada0cf45b2742eaa9,11,0,Tiền chi ra mua cổ phiếu quỹ,,05,5.0,,,184,184,"<table><tr><td rowspan=""2"" colspan=""2""></td><td>2016Triệu VND</td><td>2015Triệu VND</td></tr><tr><td>LU&#x27;U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ</td><td></td></tr><tr><td>01</td><td>Mua sắm tài sản cố định</td><td>(19.894)</td><td>(17.388)</td></tr><tr><td>02</td><td>Tiền thu từ thanh lý, nhượng bán tài sản cố định</td><td>215.212</td><td>6.474</td></tr><tr><td>03</td><td>Tiền chi mua sắm bất động sản đầu tư</td><td>(1.236)</td><td>-</td></tr><tr><td>04</td><td>Tiền thu từ bán, thanh lý bất độn...",true,programmatically verified provenance
1,week1-pilot-v1,cell_0738e75c37310f49c76a630dd817ceca063861feacb14620ff98c2f4a16d60ed,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,VSF,2017,ann_aed85fe36d79288f5155de576bebf59d20f8f9e36497c2937b62c59a06eaaf45,income_statement,tbl_46a12cc151ff5f7ee240fbe4f158c5ee2bfef2962a0e91896e9524de5dcb740a,6,0,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Mã số,20,,,,283,283,"<table><tr><td rowspan=""2"">Mã số</td><td rowspan=""2"">CHỈ TIÊU</td><td rowspan=""2"">Thuyết minh</td><td>Năm 2017</td><td>Năm 2016</td></tr><tr><td>VND</td><td>VND</td></tr><tr><td>01</td><td>1. Doanh thu bán hàng và cung cấp dịch vụ</td><td>25</td><td>10.805.743.653.138</td><td>9.969.051.683.161</td></tr><tr><td>02</td><td>2. Các khoản giảm trừ doanh thu</td><td>26</td><td>10.309.318.760</td><td>17.641.853.291</td></tr><tr><td>10</td><td>3. Doanh thu thuần bán hàng và cung cấp dịch vụ</td><td><...",true,programmatically verified provenance
1,week1-pilot-v1,cell_84261a0ae03f926eb631860fc46042a8d67527fd8330f2b94e24044569b7527c,doc_8ab2ee2d002acd608133139cda3d02552ab6b0262b444874a638b19b6dbb8931,GEE/2023/GEE_financial_statements_2023_consolidated/GEE_financial_statements_2023_consolidated_extracted.txt,GEE,2023,ann_bdc58abe36141f151faba3154ea5521a03b6a866d2bcae27dbbb29302e97efb0,balance_sheet,tbl_5c547a555e6be43b23588ecaa6e1fed558b37167708354e755b54cf9a271b90f,16,0,Dự phòng giảm giá hàng tồn kho,,2.,2.0,,VND,372,372,<table><tr><td></td><td>TÀI SẢN</td><td>Mã số</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>A.</td><td>TÀI SẢN NGẮN HẠN</td><td>100</td><td></td><td>6.563.191.996.211</td><td>7.767.527.023.963</td></tr><tr><td>I.</td><td>Tiền và các khoản tương đương tiền</td><td>110</td><td>4</td><td>1.125.181.472.381</td><td>709.642.327.664</td></tr><tr><td>1.</td><td>Tiền</td><td>111</td><td></td><td>882.133.509.367</td><td>564.424.378.349</td></tr><tr><td>2.</td><td>Các khoản...,true,programmatically verified provenance
